"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballybrit, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Barna, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Bohermore, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Claregalway, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Clifden, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Doughiska, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Gort, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Headford, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Knocknacarra, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Loughrea, Galway","Euro","762.42"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Mervue, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Monivea, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Moycullen, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Newcastle, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Oranmore, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Oughterard, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Portumna, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Rahoon, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Renmore, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Roscam, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Salthill, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Tuam, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Wellpark, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Woodquay, Galway","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kerry","Euro","721.49"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Castleisland, Kerry","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Dingle, Kerry","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kenmare, Kerry","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Killarney, Kerry","Euro","859.72"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Killorglin, Kerry","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Listowel, Kerry","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Tralee, Kerry","Euro","679.12"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kildare","Euro","1046.43"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kildare Town","Euro","849.21"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Athy, Kildare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Castledermot, Kildare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Celbridge, Kildare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Clane, Kildare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kilcock, Kildare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kilcullen, Kildare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kill, Kildare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Leixlip, Kildare","Euro","1195.65"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Maynooth, Kildare","Euro","1201.84"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Monasterevin, Kildare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Naas, Kildare","Euro","1251.38"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Newbridge, Kildare","Euro","937.51"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Rathangan, Kildare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Sallins, Kildare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kilkenny","Euro","716.48"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kilkenny City","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Callan, Kilkenny","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Castlecomer, Kilkenny","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Freshford, Kilkenny","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kells, Kilkenny","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Thomastown, Kilkenny","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Laois","Euro","737.12"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Mountmellick, Laois","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Mountrath, Laois","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Portarlington, Laois","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Portlaoise, Laois","Euro","751.19"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Leitrim","Euro","592.24"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Carrick-On-Shannon, Leitrim","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Manorhamilton, Leitrim","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Limerick","Euro","847.13"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Limerick City","Euro","880.9"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Abbeyfeale, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Annacotty, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Castleconnell, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Castletroy, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Corbally, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Dock Road, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Dooradoyle, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Glen, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kilmallock, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Newcastle West, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Old Cratloe Road, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Raheen, Limerick","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Longford","Euro","642.63"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Longford Town","Euro","655.07"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballymahon, Longford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Edgeworthstown, Longford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Newtownforbes, Longford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Louth","Euro","924.19"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ardee, Louth","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Drogheda, Louth","Euro","958.54"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Dundalk, Louth","Euro","859.07"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Louth Town","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Mayo","Euro","687.98"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballina, Mayo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballinrobe, Mayo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballyhaunis, Mayo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Belmullet, Mayo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Castlebar, Mayo","Euro","716.95"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Charlestown, Mayo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Claremorris, Mayo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Foxford, Mayo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Swinford, Mayo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Westport, Mayo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Meath","Euro","969.73"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ashbourne, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Athboy, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Bettystown, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Clonee, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Drogheda, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Duleek, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Dunboyne, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Dunshaughlin, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Enfield, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kells, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Laytown, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Navan, Meath","Euro","909.63"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ratoath, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Stamullen, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Trim, Meath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Monaghan","Euro","738.82"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballybay, Monaghan","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Carrickmacross, Monaghan","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Castleblayney, Monaghan","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Monaghan Town","Euro","686.97"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Offaly","Euro","686.09"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Banagher, Offaly","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Birr, Offaly","Euro","629.91"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Clara, Offaly","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Edenderry, Offaly","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Tullamore, Offaly","Euro","811.81"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Roscommon","Euro","600.31"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Roscommon Town","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Athlone, Roscommon","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballaghaderreen, Roscommon","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Boyle, Roscommon","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Castlerea, Roscommon","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Strokestown, Roscommon","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Sligo","Euro","716.73"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Sligo Town","Euro","742.21"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballinode, Sligo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballisodare, Sligo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballymote, Sligo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballytivnan, Sligo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Collooney, Sligo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Lough Gill, Sligo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Strandhill, Sligo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Tubbercurry, Sligo","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Tipperary","Euro","636.75"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Tipperary Town","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballina, Tipperary","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Cahir, Tipperary","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Carrick-On-Suir, Tipperary","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Cashel, Tipperary","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Clonmel, Tipperary","Euro","628.14"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Fethard, Tipperary","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Nenagh, Tipperary","Euro","624.84"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Roscrea, Tipperary","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Templemore, Tipperary","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Thurles, Tipperary","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Waterford","Euro","789.4"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Waterford City","Euro","786.69"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ballytruckle, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Canada Street, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Castle Place, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Cork Road, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Dungarvan, Waterford","Euro","831.67"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Dunmore East, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Dunmore Road, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ferrybank, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Inner Ring Road, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Johns Hill, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Lismore, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Mary Street, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Penrose Lane, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Poleberry, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Portlaw, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Railway Square, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Scotch Quay, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Templars Hall, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Tramore, Waterford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Westmeath","Euro","833.42"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Athlone, Westmeath","Euro","945.85"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Castlepollard, Westmeath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kilbeggan, Westmeath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kinnegad, Westmeath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Moate, Westmeath","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Mullingar, Westmeath","Euro","734.59"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Wexford","Euro","693.79"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Bunclody, Wexford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Clonard, Wexford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Enniscorthy, Wexford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ferns, Wexford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Ford, Wexford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Gorey, Wexford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Mulgannon, Wexford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","New Ross, Wexford","Euro","726.94"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Rosslare, Wexford","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Wicklow","Euro","1116.47"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Wicklow Town","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Arklow, Wicklow","Euro","816.89"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Baltinglass, Wicklow","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Blessington, Wicklow","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Bray, Wicklow","Euro","1201.11"
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Delgany, Wicklow","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Greystones, Wicklow","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Kilcoole, Wicklow","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Newtownmountkennedy, Wicklow","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Apartment","Rathnew, Wicklow","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Carlow","Euro","869.47"
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Carlow Town","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Tullow, Carlow","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Cavan","Euro","558.87"
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Cavan Town","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Bailieborough, Cavan","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Ballyconnell, Cavan","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Ballyjamesduff, Cavan","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Belturbet, Cavan","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Cootehill, Cavan","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Kingscourt, Cavan","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Virginia, Cavan","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Clare","Euro","460.58"
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Ennis, Clare","Euro","430.13"
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Killaloe, Clare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Kilrush, Clare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Newmarket-On-Fergus, Clare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Shannon, Clare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Sixmilebridge, Clare","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Cork","Euro","766.21"
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Cork City","Euro","815.29"
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Ballincollig, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Ballintemple, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Ballinure, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Bandon, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Bantry, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Bishopstown, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Blackpool, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Blackrock, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Blarney, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Carrigaline, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Carrigtwohill, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Castlemartyr, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Charleville, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Clonakilty, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Cloyne, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Cobh, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Crosshaven, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Douglas, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Dunmanway, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Fermoy, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Frankfield, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Glanmire, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Kanturk, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Kinsale, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Macroom, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Mallow, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Midleton, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Millstreet, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Mitchelstown, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Montenotte, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Passage West, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Rathcormac, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Ringaskiddy, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Rochestown, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Skibbereen, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Tivoli, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Tower, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Whitegate, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Wilton, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Youghal, Cork","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Donegal","Euro","440.16"
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Donegal Town","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Ballybofey, Donegal","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Buncrana, Donegal","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Bundoran, Donegal","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Carndonagh, Donegal","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Letterkenny, Donegal","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Lifford, Donegal","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Stranorlar, Donegal","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Dublin","Euro","1111.69"
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Balbriggan, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Blackrock, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Booterstown, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Cabinteely, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Citywest, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Dalkey, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Donabate, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Dun Laoghaire, Dublin","Euro","1156.39"
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Glenageary, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Howth, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Killiney, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Kinsealy, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Lucan, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Lusk, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Malahide, Dublin","Euro",""
"RTB Average Monthly Rent Report","2022Q4","One bed","Other flats","Monkstown, Dublin","Euro",""
